Education,Income,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Customer_Tenure,Age,Spent,Children,Family_Size,Is_Parent,Living_Alone,Living_Partner,Clusters,Total_Promos,Recent30,Recent90
2,58138.0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,4734,68,1617,0,1,0,True,False,1,0,0,1
2,46344.0,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,4184,71,27,2,3,1,True,False,2,0,0,1
2,71613.0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,4383,60,776,0,2,0,False,True,1,0,1,1
2,26646.0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,4210,41,53,1,3,1,False,True,3,0,1,1
3,58293.0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,4232,44,422,1,3,1,False,True,0,0,0,0
3,62513.0,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,4364,58,716,1,3,1,False,True,0,0,1,1
2,55635.0,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,4664,54,590,1,2,1,True,False,0,0,0,1
3,33454.0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,4488,40,169,1,3,1,False,True,3,0,0,1
3,30351.0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,4459,51,46,1,3,1,False,True,3,0,1,1
3,5648.0,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,4179,75,49,2,4,1,False,True,3,1,0,1
0,7500.0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,4664,49,61,0,2,0,False,True,3,0,0,1
2,63033.0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,4297,66,1102,0,1,0,True,False,1,0,0,1
3,59354.0,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,4297,73,310,2,3,1,True,False,0,0,0,1
2,17323.0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,4698,38,46,0,2,0,False,True,2,0,0,1
